;feature;weight
0;Travail_sol_J60;54.0
1;Ajout_phyto_30J;30.0
2;Ajout_phyto_45J;29.0
3;Ajout_phyto_60J;31.0
4;Ajout_ferti_30J;12.0
5;Ajout_ferti_45J;35.0
6;Ajout_ferti_60J;3.0
7;Temp_moyenne_5J;270.0
8;Sum_pluie_5J;220.0
9;year;62.0
10;month;126.0
11;Bande_acs;40.0
12;Bande_bi;33.0
13;Bande_bio;10.0
14;Bande_elev;36.0
15;Bande_pn;49.0
16;Bande_ref;15.0
17;CP_ble;42.0
18;CP_colza;15.0
19;CP_escourgeon;6.0
20;CP_feverolle;4.0
21;CP_orge_de_printemps;8.0
22;CP_triticale;3.0
23;Peuplement_ble;13.0
24;Peuplement_colza;7.0
25;Peuplement_escourgeon;2.0
26;Peuplement_feverolle;3.0
27;Peuplement_orge_de_printemps;3.0
28;Peuplement_sol_nu;21.0
29;Peuplement_triticale;2.0
30;Temp_quali_moyenne;10.0
31;Pluie_quali_moyenne;12.0
32;Pluie_ON_pas_pluie;8.0
33;Saison_automne;15.0
34;Saison_ete;2.0
35;Saison_hiver;9.0
36;Saison_printemps;13.0
37;soil_h1_quali_basse;13.0
38;soil_h1_quali_elevee;26.0
39;soil_h1_quali_moyenne;12.0
40;soil_h2_quali_basse;21.0
41;soil_h2_quali_elevee;16.0
42;soil_h2_quali_moyenne;20.0
